num,ROAD NAME,geo_loc,machine_vision_prediction,"LENGTH
(FT)",AVERAGE WIDTH (FT),AREA (SF),AREA (SY),Year RESURFACED,Pavement Rate Total,Pavement Rate Overall,Latitude,Longitude,coords,geometry
I,AQUEDUCT LANE,"41.039262, -73.866576",8.143536762323636,215.0,21.0,4515.0,501.67,1993.0,9.35,9.0,41.039262,-73.866576,"(-73.866576, 41.039262)",POINT (-73.86657599999999 41.039262)
2,ARDSLEY AVE. EAST,"41.025517, -73.866235",2.7107479072098184,885.0,20.0,17700.0,1966.67,1994.0,4.5,5.0,41.025517,-73.866235,"(-73.866235, 41.025517)",POINT (-73.866235 41.025517)
3,ARDSLEY AVE. WEST*,"41.025593, -73.872857",7.368576777701836,2764.0,20.0,55280.0,6142.22,1992.0,6.8,7.0,41.025593,-73.872857,"(-73.872857, 41.025593)",POINT (-73.872857 41.025593)
4,BARBARA LANE*,"41.042897, -73.854404",7.368576777701836,591.0,23.0,13593.0,1510.33,2009.0,8.3,8.0,41.042897,-73.854404,"(-73.854404, 41.042897)",POINT (-73.854404 41.042897)
5,BEECHWOOD LANE*,"41.027831, -73.865263",6.667363986135461,1636.0,24.0,39264.0,4362.67,2001.0,8.3,8.0,41.027831,-73.865263,"(-73.865263, 41.027831)",POINT (-73.865263 41.027831)
6,BELMONT DRIVE NORTH,"41.022799, -73.863148",5.458775937413701,521.0,20.0,10420.0,1157.78,2010.0,4.9,5.0,41.022799,-73.863148,"(-73.863148, 41.022799)",POINT (-73.863148 41.022799)
7,BELMONT DRIVE SOUTH,"41.023929, -73.863462",6.667363986135461,527.0,20.0,10540.0,1171.11,2010.0,6.9,7.0,41.023929,-73.863462,"(-73.863462, 41.023929)",POINT (-73.863462 41.023929)
8,BERTHA PLACE,"41.024890, -73.869932",7.368576777701836,855.0,18.0,15390.0,1710.0,1998.0,6.5,7.0,41.02489,-73.869932,"(-73.869932, 41.02489)",POINT (-73.86993200000001 41.02489)
9,BRIDGE STREET,"41.040373, -73.873260",7.368576777701836,844.0,40.0,33760.0,3751.11,1997.0,6.8,7.0,41.040373,-73.87326,"(-73.87326, 41.040373)",POINT (-73.87326 41.040373)
10,BROOK PLACE,"41.036612, -73.869806",4.939304724846237,104.0,18.0,1872.0,208.0,2010.0,8.3,8.0,41.036612,-73.869806,"(-73.869806, 41.036612)",POINT (-73.869806 41.036612)
I I,BUCKHOUTSTREET  NORTH,"41.040975, -73.872273",3.659126937665392,415.0,28.0,11620.0,1291.11,1999.0,5.1,5.0,41.040975,-73.872273,"(-73.872273, 41.040975)",POINT (-73.87227300000001 41.040975)
12,BUCKHOUT STREET SOUTH,"41.035629, -73.873027",4.469267734122686,3160.0,24.0,75840.0,8426.67,1997.0,4.9,5.0,41.035629,-73.873027,"(-73.873027, 41.035629)",POINT (-73.87302699999999 41.035629)
13,BUTTERWOOD EAST*,"41.029098, -73.863353",6.032880414320754,660.0,20.0,13200.0,1466.67,1996.0,6.6,7.0,41.029098,-73.863353,"(-73.863353, 41.029098)",POINT (-73.863353 41.029098)
14,BUTTERWOOD WEST*,"41.029214, -73.866140",5.458775937413701,740.0,20.0,14800.0,1644.44,1996.0,6.6,7.0,41.029214,-73.86614,"(-73.86614, 41.029214)",POINT (-73.86614 41.029214)
15,CARLA LANE*,"41.033971, -73.861377",3.310914970542981,434.0,29.0,12586.0,1398.44,2018.0,6.543157894736844,7.0,41.033971,-73.861377,"(-73.861377, 41.033971)",POINT (-73.861377 41.033971)
16,CASTLE ROAD*,"41.031132, -73.857641",4.939304724846237,1017.0,19.0,19323.0,2147.0,1990.0,8.3,8.0,41.031132,-73.857641,"(-73.857641, 41.031132)",POINT (-73.857641 41.031132)
17,CEDAR LAWN ROAD,"41.035930, -73.859023",0.8164615796047122,1400.0,19.0,26600.0,2955.56,1993.0,3.75,4.0,41.03593,-73.859023,"(-73.859023, 41.03593)",POINT (-73.85902299999999 41.03593)
18,CENTER STREET,"41.046367, -73.855205",5.458775937413701,600.0,19.0,11400.0,1266.67,2002.0,6.9,7.0,41.046367,-73.855205,"(-73.855205, 41.046367)",POINT (-73.855205 41.046367)
19,CINDY LANE,"41.026502, -73.867808",4.939304724846237,231.0,26.0,6006.0,667.33,2001.0,8.3,8.0,41.026502,-73.867808,"(-73.867808, 41.026502)",POINT (-73.867808 41.026502)
20,CIRCLE DRIVE,"41.042116, -73.862375",6.667363986135461,809.0,21.0,16989.0,1887.67,2009.0,6.9,7.0,41.042116,-73.862375,"(-73.862375, 41.042116)",POINT (-73.862375 41.042116)
21,CLIFfON  PLACE,"41.024615, -73.873604",8.143536762323636,681.0,18.0,12258.0,1362.0,1998.0,5.0,5.0,41.024615,-73.873604,"(-73.873604, 41.024615)",POINT (-73.873604 41.024615)
22,COTTONET STREET NORTH,"41.039995, -73.870895",9.0,312.0,27.0,8424.0,936.0,1999.0,8.3,8.0,41.039995,-73.870895,"(-73.870895, 41.039995)",POINT (-73.870895 41.039995)
23,COTTONET STREET SOUTH,"41.038362, -73.871266",5.458775937413701,460.0,28.0,12880.0,1431.11,1999.0,7.65,8.0,41.038362,-73.871266,"(-73.871266, 41.038362)",POINT (-73.87126600000001 41.038362)
24,CROTON PLACE,"41.038789, -73.866959",4.939304724846237,259.0,18.0,4662.0,518.0,1992.0,7.25,7.0,41.038789,-73.866959,"(-73.866959, 41.038789)",POINT (-73.86695899999999 41.038789)
25,"CYRUS FIELD ROAD (0-3,200 ft.)","41.024836, -73.848653",4.939304724846237,3200.0,20.0,64000.0,7111.11,2010.0,3.0,3.0,41.024836,-73.848653,"(-73.848653, 41.024836)",POINT (-73.848653 41.024836)
26,"CYRUS FIELD ROAD (3,200-5,744 ft.)","41.034269, -73.848475",7.368576777701836,2544.0,20.0,50880.0,5653.33,2010.0,3.0,3.0,41.034269,-73.848475,"(-73.848475, 41.034269)",POINT (-73.84847499999999 41.034269)
